V2 index	13 blokpanelen niet gelezen: 1.Header, 2.Hero banner, 3.Text block, 4.Image and text, 5.Image and text, 6.Image and text, 7.Custom code, 8.Video and text, 9.Video and text, 10.Video and text, 11.Text block, 12.Mobile apps, 13.Footer
page-checkout-sar__390__ar__founder-twin	OMGELEID: https://albunyaan.tv/pages/checkout-sar → https://albunyaan.tv/pages/form
page-checkout-idr__390__ar__founder-twin	OMGELEID: https://albunyaan.tv/pages/checkout-idr → https://albunyaan.tv/pages/form
join__390__ar__founder-twin	OMGELEID: https://albunyaan.tv/join → https://albunyaan.tv/pages/form
page-checkout__1440__nl__founder-twin	OMGELEID: https://albunyaan.tv/pages/checkout → https://albunyaan.tv/pages/form
page-checkout-egp__1440__nl__founder-twin	OMGELEID: https://albunyaan.tv/pages/checkout-egp → https://albunyaan.tv/pages/form
page-checkout-mad__1440__nl__founder-twin	OMGELEID: https://albunyaan.tv/pages/checkout-mad → https://albunyaan.tv/pages/form
page-checkout-sar__1440__nl__founder-twin	OMGELEID: https://albunyaan.tv/pages/checkout-sar → https://albunyaan.tv/pages/form
page-checkout-idr__1440__nl__founder-twin	OMGELEID: https://albunyaan.tv/pages/checkout-idr → https://albunyaan.tv/pages/form
join__1440__nl__founder-twin	OMGELEID: https://albunyaan.tv/join → https://albunyaan.tv/pages/form
page-checkout__390__nl__founder-twin	OMGELEID: https://albunyaan.tv/pages/checkout → https://albunyaan.tv/pages/form
page-checkout-egp__390__nl__founder-twin	OMGELEID: https://albunyaan.tv/pages/checkout-egp → https://albunyaan.tv/pages/form
page-checkout-mad__390__nl__founder-twin	OMGELEID: https://albunyaan.tv/pages/checkout-mad → https://albunyaan.tv/pages/form
page-checkout-sar__390__nl__founder-twin	OMGELEID: https://albunyaan.tv/pages/checkout-sar → https://albunyaan.tv/pages/form
page-checkout-idr__390__nl__founder-twin	OMGELEID: https://albunyaan.tv/pages/checkout-idr → https://albunyaan.tv/pages/form
join__390__nl__founder-twin	OMGELEID: https://albunyaan.tv/join → https://albunyaan.tv/pages/form
page-checkout-gate__1440__en__founder-twin	OMGELEID: https://albunyaan.tv/pages/checkout → https://albunyaan.tv/pages/checkout-idr
join-gate__1440__en__founder-twin	OMGELEID: https://albunyaan.tv/join → https://albunyaan.tv/pages/form
page-checkout-gate__390__en__founder-twin	OMGELEID: https://albunyaan.tv/pages/checkout → https://albunyaan.tv/pages/checkout-idr
join-gate__390__en__founder-twin	OMGELEID: https://albunyaan.tv/join → https://albunyaan.tv/pages/form
page-checkout-gate__1440__ar__founder-twin	OMGELEID: https://albunyaan.tv/pages/checkout → https://albunyaan.tv/pages/checkout-idr
join-gate__1440__ar__founder-twin	OMGELEID: https://albunyaan.tv/join → https://albunyaan.tv/pages/form
page-checkout-gate__390__ar__founder-twin	OMGELEID: https://albunyaan.tv/pages/checkout → https://albunyaan.tv/pages/checkout-idr
join-gate__390__ar__founder-twin	OMGELEID: https://albunyaan.tv/join → https://albunyaan.tv/pages/form
page-checkout-gate__1440__nl__founder-twin	OMGELEID: https://albunyaan.tv/pages/checkout → https://albunyaan.tv/pages/checkout-idr
join-gate__1440__nl__founder-twin	OMGELEID: https://albunyaan.tv/join → https://albunyaan.tv/pages/form
page-checkout-gate__390__nl__founder-twin	OMGELEID: https://albunyaan.tv/pages/checkout → https://albunyaan.tv/pages/checkout-idr
join-gate__390__nl__founder-twin	OMGELEID: https://albunyaan.tv/join → https://albunyaan.tv/pages/form
STAP 5b videopagina	NIET VASTGELEGD: ook na scrollen geen afleveringslink op /programs/collection-my-words-ar (zie programmapagina-ingelogd-2.json)
NABEWERKING 2026-09-04	De regel "STOP-signaal captcha/challenge/40x … 403 …/community/challenges/widgets" (08:55) was VALS: 403 op een sub-verzoek van de (uitgeschakelde) community-widget, geen login-wall/captcha; regel verfijnd tot hoofddocument + inlog-omleiding; stap 5 daarna volledig gedraaid.
NABEWERKING 2026-09-04	De twee regels "videopagina NIET VASTGELEGD" (08:57, 09:09) zijn ACHTERHAALD: afleveringslinks hebben de vorm /programs/<collectie>?cid=<id>&permalink=<nn-hash>; de eerste aflevering (cid=2696154, 01-80f683) is in 6 cellen vastgelegd (09:11–09:15, speler aanwezig, ingelogd).
NABEWERKING 2026-09-04	De 36 OMGELEID-regels van stap 5 (checkout/join → /pages/form, ook ingelogd) zijn een MEETFEIT: de head-code "Custom Checkout Redirects v3.7" laat checkout alleen toe binnen 2 min na succes op het lead-formulier (sessionStorage alb_lead_allow_ts), los van inloggen. Daarom stap 5b: dezelfde 6 pagina's met die client-side vlag gezet (geen formulier verzonden) → checkout/egp/mad/sar/idr wél vastgelegd; /join blijft altijd → /pages/form (script vervangt /join door de lead gate); /pages/checkout → checkout-idr door de "Currency-Based Redirection" (ipinfo/ipdata) vanaf dit IP.
